type,OTU1,OTU2,gmcoda,glasso,SEGL,SEMB
1&1,Alistipes,Agathobacter,-0.0467814013289746,0,0,0
1&1,Anaerostipes,Agathobacter,0.0714541236209362,0,0,0
1&1,Bifidobacterium,Agathobacter,0.0865937605683131,0,0,0
1&1,Dorea,Agathobacter,0.120214792415115,0.00837279490182954,0.0148389879669085,0
1&1,Escherichia.Shigella,Agathobacter,-0.0417124382832421,0,-0.0412249851205499,0
1&1,Faecalibacterium,Agathobacter,0.155484914823926,0,0,1
1&1,Family_XIII_AD3011_group,Agathobacter,-0.118033045372781,0,-0.0267263464421525,1
1&1,Fusicatenibacter,Agathobacter,0.314199433117209,0.0567870854655591,0.132164766515616,1
1&1,Lactobacillus,Agathobacter,-0.00881626535076855,0,0,0
1&1,Romboutsia,Agathobacter,0.0222955296113427,0,0,0
1&1,Roseburia,Agathobacter,0.324095090532068,0.0722741331109318,0.137426528484958,1
1&1,Ruminiclostridium_5,Agathobacter,-0.0793261993860984,0,0,0
1&1,Ruminococcaceae,Agathobacter,-0.127233269985682,0,0,0
1&1,Ruminococcus,Agathobacter,0.134276126580146,0,0,1
1&1,Streptococcus,Agathobacter,0.0001284803127533,0,0,0
1&1,UBA1819,Agathobacter,-0.119728853200546,0,0,1
1&2,Aspergillus,Agathobacter,-0.214117088272862,0,-0.0277472935581023,1
1&2,Meyerozyma,Agathobacter,-0.00980595278518813,0,0,0
1&2,Sclerotiniaceae,Agathobacter,0.0534876654970546,0,0,0
1&1,Bifidobacterium,Akkermansia,-0.032871803483128,0,0,0
1&1,Clostridium_sensu_stricto_1,Akkermansia,-0.0226887177065187,0,0,0
1&1,Collinsella,Akkermansia,-0.0140539590906954,0,0,0
1&1,Family_XIII_AD3011_group,Akkermansia,0.0717657554193375,0,0,0
1&1,Fusicatenibacter,Akkermansia,-0.192711169160903,0,0,0
1&1,Parabacteroides,Akkermansia,-0.0061750119728919,0,0,0
1&1,Prevotellaceae_NK3B31_group,Akkermansia,0.106779112905237,0,0,0
1&1,Romboutsia,Akkermansia,-0.0121181994437278,0,0,0
1&1,Roseburia,Akkermansia,-0.0162551530460271,0,0,0
1&1,UBA1819,Akkermansia,-0.0599239904770333,0,0,0
1&2,Aspergillus,Akkermansia,-0.0715230283715644,0,0,0
1&2,Candida,Akkermansia,-0.160750517863199,0,0,0
1&2,Dipodascus,Akkermansia,-0.00268134898733715,0,0,0
1&2,Issatchenkia,Akkermansia,0.0413521220687246,0,0,0
1&2,Paraphaeosphaeria,Akkermansia,-0.0933316758233453,0,0,0
1&2,Penicillium,Akkermansia,-0.0623100182545051,0,0,0
1&2,Saccharomyces,Akkermansia,0.0509691330963987,0,0,0
1&1,Anaerostipes,Alistipes,-0.0458704281248136,0,0,0
1&1,Bacteroides,Alistipes,0.247529754757986,0,0.0705984349334943,1
1&1,Barnesiella,Alistipes,0.285238674718018,0,0.0127800353783988,1
1&1,Bifidobacterium,Alistipes,-0.0527848523972642,0,0,0
1&1,Coprococcus,Alistipes,-0.0180251955010296,0,0,0
1&1,Dorea,Alistipes,-0.0384814819795133,0,0,0
1&1,Escherichia.Shigella,Alistipes,0.0313145863861254,0,0,0
1&1,Parabacteroides,Alistipes,0.118042222087499,0,0,0
1&1,Streptococcus,Alistipes,-0.0596268565340328,0,0,0
1&1,UBA1819,Alistipes,0.058095198785057,0,0,0
1&2,Aspergillus,Alistipes,0.0199966890974089,0,0,0
1&2,Paraphaeosphaeria,Alistipes,-0.061668287078503,0,0,0
1&1,Bacteroides,Anaerostipes,-0.00999635221984453,0,0,0
1&1,Bifidobacterium,Anaerostipes,0.0687678612363436,0,0,0
1&1,Dorea,Anaerostipes,0.126011007059484,0.02833627720069,0.0768250276172367,1
1&1,Faecalibacterium,Anaerostipes,-0.0917924025353572,0,0,0
1&1,Lactobacillus,Anaerostipes,-0.0426458119614528,0,0,0
1&1,Parabacteroides,Anaerostipes,-0.203355006940602,0,-0.0272071865840823,0
1&1,Romboutsia,Anaerostipes,0.041103740675119,0,0,0
1&1,Streptococcus,Anaerostipes,0.0567049679144809,0,0,0
1&2,Meyerozyma,Anaerostipes,-0.0753160363399539,0,0,0
1&1,Coprococcus,Bacteroides,-0.0447364531827524,0,0,0
1&1,Fusicatenibacter,Bacteroides,0.0130788223502351,0,0,0
1&1,Parabacteroides,Bacteroides,0.296952352241129,0,0.0669482079490862,1
1&1,Prevotellaceae_NK3B31_group,Bacteroides,0.0392494783078714,0,0,0
1&1,Streptococcus,Bacteroides,-0.0084916028635498,0,0,0
1&1,UBA1819,Bacteroides,0.257109660115351,0,0.034329268705835,1
1&2,Candida,Bacteroides,-0.0282865064524177,0,0,0
1&2,Paraphaeosphaeria,Bacteroides,-0.0815308614980423,0,0,0
1&1,Blautia,Barnesiella,-0.0612840376701472,0,0,0
1&1,Clostridium_sensu_stricto_1,Barnesiella,-0.0247494777003369,0,0,0
1&1,Collinsella,Barnesiella,-0.008991233168681,0,0,0
1&1,Coprococcus,Barnesiella,-0.0722343743986031,0,0,0
1&1,Dorea,Barnesiella,-0.0181407772644191,0,0,0
1&1,Faecalibacterium,Barnesiella,-0.147192509864719,0,0,0
1&1,Lachnoclostridium,Barnesiella,0.0520591495266337,0,0,0
1&1,Parabacteroides,Barnesiella,0.0407242149483446,0,0,0
1&1,Prevotellaceae_NK3B31_group,Barnesiella,0.0626565266915028,0,0,0
1&2,Aspergillus,Barnesiella,0.10952397954191,0,0,0
1&2,Issatchenkia,Barnesiella,0.0302520098875944,0,0,0
1&2,Saccharomyces,Barnesiella,-0.0379244617243535,0,0,0
1&1,Clostridium_sensu_stricto_1,Bifidobacterium,0.0549023951730351,0,0,0
1&1,Collinsella,Bifidobacterium,0.246023400876461,0,0,0
1&1,Coprococcus,Bifidobacterium,0.0366456981083641,0,0,0
1&1,Faecalibacterium,Bifidobacterium,0.0262472813983378,0,0,0
1&1,Fusicatenibacter,Bifidobacterium,0.0940616840325147,0,0,0
1&1,Streptococcus,Bifidobacterium,0.0534205360873498,0,0,0
1&2,Agaricus,Bifidobacterium,0.055951050762669,0,0,0
1&2,Paraphaeosphaeria,Bifidobacterium,0.0887785744968955,0,0,0
1&2,Penicillium,Bifidobacterium,-0.0307976784782916,0,0,0
1&1,Dorea,Blautia,0.114514990868236,0.0489163024758554,0.0532207789870165,1
1&1,Escherichia.Shigella,Blautia,-0.115070863022042,0,-0.0147788008062869,1
1&1,Collinsella,Christensenellaceae_R.7_group,0.0906272697765404,0,0,0
1&1,Escherichia.Shigella,Christensenellaceae_R.7_group,0.0311524780105998,0,0,0
1&1,Faecalibacterium,Christensenellaceae_R.7_group,0.0495785183817701,0,0,0
1&1,Lactobacillus,Christensenellaceae_R.7_group,-0.0169706241503718,0,0,0
1&1,Parabacteroides,Christensenellaceae_R.7_group,0.0923706852135979,0,0,0
1&1,Roseburia,Christensenellaceae_R.7_group,-0.00967443279082536,0,0,0
1&1,Ruminococcaceae,Christensenellaceae_R.7_group,0.158180506364043,0.00288823641370163,0,1
1&1,Streptococcus,Christensenellaceae_R.7_group,-0.00861576881158409,0,0,0
1&1,Collinsella,Clostridium_sensu_stricto_1,0.053076874294326,0,0,0
1&1,Dorea,Clostridium_sensu_stricto_1,0.0501075235801367,0,0,0
1&1,Escherichia.Shigella,Clostridium_sensu_stricto_1,0.198411076096706,0,0,0
1&1,Faecalibacterium,Clostridium_sensu_stricto_1,0.02074392263054,0,0,0
1&1,Intestinibacter,Clostridium_sensu_stricto_1,0.309348614311556,0,0.0258519976413261,1
1&1,Lachnoclostridium,Clostridium_sensu_stricto_1,-0.0745738657258988,0,0,0
1&1,Lactobacillus,Clostridium_sensu_stricto_1,0.0677623118651649,0,0,0
1&1,Prevotellaceae_NK3B31_group,Clostridium_sensu_stricto_1,0.0484990370695887,0,0,0
1&1,Romboutsia,Clostridium_sensu_stricto_1,0.340516108325321,0,0.0364863740734569,1
1&2,Agaricus,Clostridium_sensu_stricto_1,0.0803046646462619,0,0,0
1&2,Candida,Clostridium_sensu_stricto_1,0.0453056963885277,0,0,0
1&2,Issatchenkia,Clostridium_sensu_stricto_1,-0.0112182063291754,0,0,0
1&2,Meyerozyma,Clostridium_sensu_stricto_1,-0.0131318534231621,0,0,0
1&1,Coprococcus,Collinsella,0.0464048977852442,0,0,0
1&1,Escherichia.Shigella,Collinsella,0.0806203690276538,0,0,0
1&1,Family_XIII_AD3011_group,Collinsella,0.154108716332358,0,0,0
1&1,Intestinibacter,Collinsella,0.00731055217101932,0,0,0
1&1,Marvinbryantia,Collinsella,-0.0447937871806981,0,0,0
1&1,Parabacteroides,Collinsella,-0.00865233375725328,0,0,0
1&1,Romboutsia,Collinsella,0.069645704186037,0,0,0
1&1,Roseburia,Collinsella,-0.0268654308416605,0,0,0
1&1,Ruminococcaceae,Collinsella,0.0228952527611756,0,0,0
1&2,Aspergillus,Collinsella,0.0109558598733916,0,0,0
1&1,Faecalibacterium,Coprococcus,0.0205487191103912,0,0,0
1&1,Parabacteroides,Coprococcus,-0.0299659997262666,0,0,0
1&1,Ruminococcus,Coprococcus,0.0176017424216398,0,0,0
1&1,Subdoligranulum,Coprococcus,0.175675927248238,0.0363851225578012,0.0322698770453302,1
1&1,UBA1819,Coprococcus,-0.00288721721934254,0,0,0
1&2,Issatchenkia,Coprococcus,-0.038589117646982,0,0,0
1&2,Meyerozyma,Coprococcus,-0.0463216626904268,0,0,0
1&2,Penicillium,Coprococcus,-0.0703520546256767,0,0,0
1&2,Vishniacozyma,Coprococcus,0.0680137670888093,0,0,0
1&1,Lactobacillus,Dorea,-0.00958495776140323,0,0,0
1&1,Parabacteroides,Dorea,-0.202361888435496,0,-0.0740589492559904,1
1&1,Romboutsia,Dorea,0.104242007807872,0,0,0
1&1,Roseburia,Dorea,0.0324597065682392,0.00108937879487527,0,0
1&1,Faecalibacterium,Escherichia.Shigella,-0.0542876941240379,0,0,0
1&1,Family_XIII_AD3011_group,Escherichia.Shigella,0.13721275320717,0,0,0
1&1,Fusicatenibacter,Escherichia.Shigella,-0.17199560467035,0,-0.0504719906886117,1
1&1,Intestinibacter,Escherichia.Shigella,0.0405227753720707,0,0,0
1&1,Lactobacillus,Escherichia.Shigella,0.102357588191804,0,0,0
1&1,Parabacteroides,Escherichia.Shigella,0.100651828247643,0,0,0
1&1,Prevotellaceae_NK3B31_group,Escherichia.Shigella,0.012982014975235,0,0,0
1&1,Roseburia,Escherichia.Shigella,-0.245628147785733,0,-0.0872814046189472,1
1&1,Ruminococcaceae,Escherichia.Shigella,0.0658258691413235,0,0,0
1&1,Streptococcus,Escherichia.Shigella,0.0509007325066517,0,0,0
1&1,Subdoligranulum,Escherichia.Shigella,-0.00104668355554787,0,0,0
1&2,Agaricus,Escherichia.Shigella,0.0439851550044765,0,0,0
1&2,Aspergillus,Escherichia.Shigella,0.0319626925823071,0,0,0
1&2,Debaryomyces,Escherichia.Shigella,0.0889743508510046,0,0,0
1&2,Dipodascus,Escherichia.Shigella,-0.127032014750815,0,0,0
1&2,Filobasidium,Escherichia.Shigella,-0.0308448203470049,0,0,0
1&2,Issatchenkia,Escherichia.Shigella,-0.0490330285842101,0,0,0
1&2,Penicillium,Escherichia.Shigella,0.00903772827625677,0,0,0
1&1,Lachnoclostridium,Faecalibacterium,-0.232653090312548,0,0,0
1&1,Roseburia,Faecalibacterium,0.00226846999808904,0,0,0
1&1,Subdoligranulum,Faecalibacterium,0.157149245159605,0,0,1
1&2,Candida,Faecalibacterium,0.055859635342293,0,0,0
1&2,Dipodascus,Faecalibacterium,0.0925594407652214,0,0,0
1&2,Paraphaeosphaeria,Faecalibacterium,0.0250848222481489,0,0,0
1&2,Saccharomyces,Faecalibacterium,-0.0115284339336075,0,0,0
1&1,Fusicatenibacter,Family_XIII_AD3011_group,-0.0855626192995222,0,-0.0479625817437073,1
1&1,Intestinibacter,Family_XIII_AD3011_group,0.0796551200263177,0,0,0
1&1,Ruminococcaceae,Family_XIII_AD3011_group,0.00873192262921832,0,0,0
1&2,Dipodascus,Family_XIII_AD3011_group,-0.0115822675555336,0,0,0
1&1,Roseburia,Fusicatenibacter,0,0.00803707606580506,0.0430237394567365,0
1&1,Ruminiclostridium_5,Fusicatenibacter,-0.0386957631949653,0,0,0
1&2,Aspergillus,Fusicatenibacter,-0.0090169642458148,0,0,0
1&2,Saccharomyces,Fusicatenibacter,-0.0275599433400376,0,0,0
1&1,Lactobacillus,Intestinibacter,0.0266697204825522,0,0,0
1&1,Parabacteroides,Intestinibacter,-0.016434761107426,0,0,0
1&1,Prevotellaceae_NK3B31_group,Intestinibacter,0.0317008160431314,0,0,0
1&1,Romboutsia,Intestinibacter,0.253760227646225,0,0,0
1&1,Ruminiclostridium_5,Intestinibacter,0.0439419009695412,0,0,0
1&1,Ruminiclostridium_9,Intestinibacter,0.00648013175646147,0,0,0
1&2,Agaricus,Intestinibacter,0.016838401254029,0,0,0
1&2,Candida,Intestinibacter,-0.0057880366563192,0,0,0
1&2,Debaryomyces,Intestinibacter,0.0599775343201338,0,0,0
1&2,Dipodascus,Intestinibacter,-0.039137483959737,0,0,0
1&2,Saccharomyces,Intestinibacter,0.0292198055668332,0,0,0
1&1,Romboutsia,Lachnoclostridium,-0.0528397013639743,0,0,0
1&1,UBA1819,Lachnoclostridium,0.0768338803660736,0,0,0
1&1,Marvinbryantia,Lactobacillus,-0.0389586179797569,0,0,0
1&1,Parabacteroides,Lactobacillus,0.0298382242098581,0,0,0
1&1,Prevotellaceae_NK3B31_group,Lactobacillus,0.163875598798711,0,0,0
1&1,Streptococcus,Lactobacillus,0.514835672892012,0,0.0780671694499927,1
1&1,UBA1819,Lactobacillus,0.0379194617253404,0,0,0
1&2,Candida,Lactobacillus,0.0733444743782869,0,0,0
1&2,Dipodascus,Lactobacillus,0.00744444942694617,0,0,0
1&2,Issatchenkia,Lactobacillus,0.0312044952579842,0,0,0
1&2,Saccharomyces,Lactobacillus,0.125017573474252,0,0,0
1&2,Vishniacozyma,Lactobacillus,-0.0257916942178136,0,0,0
1&1,Prevotellaceae_NK3B31_group,Parabacteroides,0.0722960990488541,0,0,0
1&1,Romboutsia,Parabacteroides,-0.034107882432452,0,0,0
1&1,Ruminiclostridium_9,Parabacteroides,0.0275106361907453,0,0,0
1&1,UBA1819,Parabacteroides,0.068511374991608,0,0,0
1&2,Filobasidium,Parabacteroides,-0.0153824782359236,0,0,0
1&2,Issatchenkia,Parabacteroides,-0.0785380775105232,0,0,0
1&1,Streptococcus,Prevotellaceae_NK3B31_group,0.0580145888226852,0,0,0
1&1,Subdoligranulum,Prevotellaceae_NK3B31_group,-0.0312620313787948,0,0,0
1&2,Aspergillus,Prevotellaceae_NK3B31_group,-0.0449385574503502,0,0,0
1&2,Penicillium,Prevotellaceae_NK3B31_group,-0.00130420005506719,0,0,0
1&2,Saccharomyces,Prevotellaceae_NK3B31_group,0.0828320903632431,0,0,0
1&1,Streptococcus,Romboutsia,0.0559395343699611,0,0,0
1&2,Agaricus,Romboutsia,0.00293807451228098,0,0,0
1&2,Issatchenkia,Romboutsia,0.111573506932029,0,0,0
1&2,Meyerozyma,Romboutsia,-0.141805052210394,0,0,0
1&2,Paraphaeosphaeria,Romboutsia,0.000551799905733995,0,0,0
1&2,Penicillium,Romboutsia,-0.0298881791981856,0,0,0
1&2,Saccharomyces,Romboutsia,-0.0444521839188302,0,0,0
1&1,Subdoligranulum,Roseburia,0.000378587776367337,0,0,0
1&1,UBA1819,Roseburia,-0.0740995691604079,0,0,0
1&2,Dipodascus,Roseburia,0.0205894610469873,0,0,0
1&1,Ruminiclostridium_9,Ruminiclostridium_5,0.0709102065117797,0.00192483629034397,0,1
1&1,UBA1819,Ruminiclostridium_5,0.0906825531975433,0,0,0
1&2,Aspergillus,Ruminiclostridium_5,0.000705809546777444,0,0,0
1&2,Dipodascus,Ruminiclostridium_5,-0.0163058551688617,0,0,0
1&1,UBA1819,Ruminiclostridium_9,0.1069872857442,0,0,0
1&2,Dipodascus,Ruminiclostridium_9,-0.00996527273238575,0,0,0
1&1,Subdoligranulum,Ruminococcus,0.082414408311522,0.00611472644687256,0,0
1&1,UBA1819,Ruminococcus,-0.180612859461417,0,-0.00571460837239481,1
1&2,Meyerozyma,Ruminococcus,-0.033603132477666,0,0,0
1&2,Paraphaeosphaeria,Ruminococcus,0.00376893578529051,0,0,0
1&2,Sclerotiniaceae,Ruminococcus,0.0422687185685852,0,0,0
1&2,Candida,Streptococcus,0.172773123876204,0,0,0
1&2,Debaryomyces,Streptococcus,0.00335671011945499,0,0,0
1&2,Paraphaeosphaeria,Streptococcus,7.25242574199949e-05,0,0,0
1&2,Saccharomyces,Streptococcus,0.126608168190602,0,0,0
1&1,UBA1819,Subdoligranulum,-0.107325567096611,0,0,0
1&2,Issatchenkia,Subdoligranulum,-0.131108812553302,0,0,0
1&2,Candida,UBA1819,-0.00647468157493444,0,0,0
1&2,Debaryomyces,UBA1819,0.00779618268909144,0,0,0
1&2,Issatchenkia,UBA1819,0.0389058609942914,0,0,0
1&2,Meyerozyma,UBA1819,0.0521885610793019,0,0,0
2&2,Debaryomyces,Agaricus,0.128941262971845,0,0,0
2&2,Meyerozyma,Agaricus,-0.114173739653385,0,-0.0834037963375719,1
2&2,Paraphaeosphaeria,Agaricus,0.2970427189963,0.0794992725284766,0.121359900731231,1
2&2,Saccharomyces,Agaricus,0.0256728462843657,0,0,0
2&2,Sclerotiniaceae,Agaricus,0.256305838145422,0.0777135246175399,0.0988119964138916,0
2&2,Candida,Aspergillus,0.155678439184562,0,0,0
2&2,Meyerozyma,Aspergillus,0.0499112210686742,0,0,0
2&2,Penicillium,Aspergillus,0.4182534298399,0,0.051995272184918,1
2&2,Saccharomyces,Aspergillus,-0.030232868181907,0,0,0
2&2,Dipodascus,Candida,0.202313946151661,0,0,0
2&2,Meyerozyma,Candida,0.119494962235226,0,0,0
2&2,Penicillium,Candida,0.0908051057033412,0,0,0
2&2,Saccharomyces,Candida,0.0458869214950353,0,0,0
2&2,Malassezia,Cladosporium,0,0.0639784411913596,0,0
2&2,Penicillium,Cladosporium,0.184940282534263,0,0,0
2&2,Saccharomyces,Cladosporium,0.0492252751559646,0,0,0
2&2,Dipodascus,Debaryomyces,-0.132708718043649,0,-0.0464831728054698,1
2&2,Filobasidium,Debaryomyces,-0.0155025715801258,0,0,0
2&2,Penicillium,Debaryomyces,0.0876277500784766,0,0,0
2&2,Saccharomyces,Debaryomyces,0.210875316736985,0,0,0
2&2,Issatchenkia,Dipodascus,0.0746267945791793,0,0,0
2&2,Paraphaeosphaeria,Dipodascus,0.0462653832584853,0,0,0
2&2,Penicillium,Dipodascus,-0.0272445867002018,0,0,0
2&2,Sclerotiniaceae,Dipodascus,0.147422480948646,0,0,0
2&2,Malassezia,Filobasidium,0,0.0587745011978704,0,1
2&2,Penicillium,Filobasidium,-0.037947082700764,0,0,0
2&2,Saccharomyces,Filobasidium,-0.120287672944506,0,0,0
2&2,Vishniacozyma,Filobasidium,0,0.00933352370221384,0,0
2&2,Meyerozyma,Issatchenkia,0.297593246915221,0,0,0
2&2,Saccharomyces,Issatchenkia,-0.0371223090888421,0,0,0
2&2,Vishniacozyma,Malassezia,0,0.0582616881336242,0,0
2&2,Paraphaeosphaeria,Meyerozyma,-0.193327601269659,0,-0.104468915058942,1
2&2,Penicillium,Meyerozyma,0.0854689976794761,0,0,0
2&2,Sclerotiniaceae,Meyerozyma,-0.0203564629338091,0,-0.025918436841164,0
2&2,Vishniacozyma,Meyerozyma,0.0107535182826867,0,0,0
2&2,Saccharomyces,Paraphaeosphaeria,-0.0117770994649179,0,0,0
2&2,Sclerotiniaceae,Paraphaeosphaeria,0.422782967972688,0.107229693293768,0.198961671973242,1
2&2,Saccharomyces,Penicillium,0.152333403873594,0,0,0
2&2,Sclerotiniaceae,Penicillium,-0.0109890256804175,0,-0.00370091484302071,0
2&2,Vishniacozyma,Penicillium,-0.0428141414579941,0,0,0
2&2,Vishniacozyma,Saccharomyces,-0.0821546034333105,0,0,0
